Assignment 1,Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display ID,ID,Last Name,First Name,grade,Source Points,Early/Late,Weighted Grade,ScanStringTestSuite:ScanString functions correctly,ScanningIteratorSuite:Scanning Iterator,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithStartingPeriodSuite:Terminating period forms complete line,IndexOfNotTestSuite:IndexOfNot functions correctly,IndexOfTestSuite:IndexOf functions correctly,TerminatesWithPeriodLineSuite:Handles Space After Period,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Required Methods Called in Main or Iterator,IndexOf  Called in Iterator,indexOfNot Called in Main,IndexOfNot Called in Iterator,Iterator Methods Called in Main,Screenshots enclosed,Screenshots show tests,Illegal import or call,ScanStringTestSuite:ScanString functions correctly,ScanningIteratorSuite:Scanning Iterator,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithStartingPeriodSuite:Terminating period forms complete line,IndexOfNotTestSuite:IndexOfNot functions correctly,IndexOfTestSuite:IndexOf functions correctly,TerminatesWithPeriodLineSuite:Handles Space After Period,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Required Methods Called in Main or Iterator,IndexOf  Called in Iterator,indexOfNot Called in Main,IndexOfNot Called in Iterator,Iterator Methods Called in Main,Screenshots enclosed,Screenshots show tests,Illegal import or call
acorrect,acorrect,All,Correct,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecredit,ecredit,Extra,Credit,49.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmany,mmany,Mistakes,Many,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tstudent,tstudent,Test,Student,47.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tstudent2,tstudent2,Test,Student2,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tstudent3,tstudent23,Test,Student3,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tstudent4,tstudent4,Test,Student4,80.0,,1.05,84.0,15.0,0.0,30.0,10.0,5.0,0.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,ScanStringTestSuite:ScanString functions correctly     %.1f / 15.0,ScanningIteratorSuite:Scanning Iterator                %.1f / 30.0 (Extra credit),MultipleTokenSuite:Can process multiple tokens         %.1f / 30.0,InvalidCharacterSuite:Handles Invalid Characters       %.1f / 10.0 (Extra credit),TerminatesWithStartingPeriodSuite:Terminating period forms complete line %.1f /  5.0,IndexOfNotTestSuite:IndexOfNot functions correctly     %.1f /  5.0 (Extra credit),IndexOfTestSuite:IndexOf functions correctly           %.1f / 18.0,TerminatesWithPeriodLineSuite:Handles Space After Period %.1f /  5.0,SingleTokenSuite:Can process a single token            %.1f / 10.0,VariableSpaceSuite:Handles Variable Spaces             %.1f /  5.0 (Extra credit),Required Methods Called in Main or Iterator            %.1f / 15.0,IndexOf  Called in Iterator                            %.1f /  5.0 (Extra credit),indexOfNot Called in Main                              %.1f /  3.0 (Extra credit),IndexOfNot Called in Iterator                          %.1f /  3.0 (Extra credit),Iterator Methods Called in Main                        %.1f / 10.0 (Extra credit),Screenshots enclosed                                   %.1f /  5.0,Screenshots show tests                                 %.1f / 10.0,Illegal import or call                      %.1f /  -25.0
infinite,infinite,Loop,Infinite,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scanner,scanner,Scanner,Multiple,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timeout,timeout,Exception,Timeout,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
